Ticket_ID,Date,Machine,Description
329,2023-04-20,Lézeres Vágó-Pro,Az áramellátás stabilitása nem garantálható a jelenlegi terhelés mellett.
330,2023-04-20,CNC-Micro,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
331,2023-04-21,Hegesztő-MAX,Nem reagál az érintőképernyő a vezérlőpanelen.
332,2023-04-21,Fúró-12,Laza csatlakozás a fő tápbemeneten.
333,2023-04-21,CNC-7,A robotvezérlő és a mechanika szinkronizációja megszakadt.
334,2023-04-22,Szállítószalag-7,A PLC vezérlőegység áramszünet miatt újraindult.
335,2023-04-22,Optikai Mérő-X,Törött tömítés az olajtartályon.
336,2023-04-22,Emelőkar-Pro,A hőmérséklet-szabályozó egység hibás jeleket küld.
337,2023-04-23,Optikai Mérő-Delta,Az érzékelők jelzése nem egyezik a valós pozícióval.
338,2023-04-23,Présgép-9,Beragadt működtető a lift mechanizmusban.
339,2023-04-23,Hidraulikus prés-4,Beragadt működtető a lift mechanizmusban.
340,2023-04-24,CNC-Pro,Túlmelegedett a hajtómotor működés közben.
341,2023-04-24,Hidraulikus prés-4,A gépindítás közben váratlan rendszerindítás történt.
342,2023-04-24,Maró-2,A szervomotor nem tartja a beállított pozíciót.
343,2023-04-25,Hidraulikus prés-Y,A feszültségszabályozó hibásan működik.
344,2023-04-25,Robot Delta,A szivattyú működése közben szokatlan zaj hallható.
345,2023-04-25,Szenzorvezérlő-1,Az olajszűrő rendszer eltömődött.
346,2023-04-26,Fúró-5,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
347,2023-04-26,Hegesztő-1,A motor túlmelegedett és leállt.
348,2023-04-26,Emelőkar-3,A vákuumrendszer szivárgást jelez.
349,2023-04-27,Szenzorvezérlő-1,A láncvezető kopás miatt nem működik megfelelően.
350,2023-04-27,Emelőkar-X,Nem reagál az érintőképernyő a vezérlőpanelen.
351,2023-04-27,Maró-8,Firmware inkompatibilitás frissítés után.
352,2023-04-28,Fúró-12,A feszültségszabályozó hibásan működik.
353,2023-04-28,Robot Alpha,A süllyesztő mechanizmus belső csapágyai sérültek.
354,2023-04-28,CNC-3,Az alkatrész érzékelő hibás adatokat továbbít.
355,2023-04-29,Lézeres Vágó-Pro,A motor túlmelegedett és leállt.
356,2023-04-29,Szállítószalag-C,A csatlakozók oxidációs nyomokat mutatnak.
357,2023-04-29,Szenzorvezérlő-1,A sebességváltó fogaskerekei nem kapcsolódnak megfelelően.
358,2023-04-30,Hegesztő-XL,Kopott fogaskerék cseréje szükséges.
359,2023-04-30,Maró-8,A szinkronizáció megszakadt a vezérlőegységek között.
360,2023-04-30,Szenzorvezérlő-3,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
361,2023-05-01,CNC-Pro,Nem reagál az érintőképernyő a vezérlőpanelen.
362,2023-05-01,Lézeres Vágó-B,Az alkatrész érzékelő hibás adatokat továbbít.
363,2023-05-01,CNC-3,A csatlakozók oxidációs nyomokat mutatnak.
364,2023-05-02,Maró-Z,Túlmelegedett a hajtómotor működés közben.
365,2023-05-02,Hegesztő-XL,A hőcserélő szivárog a csatlakozási pontnál.
366,2023-05-02,CNC-Micro,Rendellenes rezgés működés közben.
367,2023-05-03,Robot 2,A vészleállító ok nélkül aktiválódott.
368,2023-05-03,CNC-3,A robotkar mozgása akadozik.
369,2023-05-03,Szenzorvezérlő-Beta,A szenzorok hibás adatokat küldenek a vezérlőegységnek.
370,2023-05-04,Optikai Mérő-X,Szenzorhiba hibás vezetékezés miatt.
371,2023-05-04,Optikai Mérő-Delta,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
372,2023-05-04,Fúró-12,A robotkar mozgása akadozik.
373,2023-05-05,Szenzorvezérlő-3,Az elektromos motor szénkeféi elhasználódtak.
374,2023-05-05,Szállítószalag-7,A kenőrendszer olajszintje az alsó határérték alá csökkent.
375,2023-05-05,Fúró-5,Laza csatlakozás a fő tápbemeneten.
376,2023-05-06,Optikai Mérő-2,A berendezés érzékelője hamis riasztásokat generál.
377,2023-05-06,Présgép-9,A szervomotor nem tartja a beállított pozíciót.
378,2023-05-06,Optikai Mérő-X,A hőmérséklet meghaladja a biztonságos határt.
379,2023-05-07,Szenzorvezérlő-1,A süllyesztő mechanizmus belső csapágyai sérültek.
380,2023-05-07,Maró-2,A vészleállító ok nélkül aktiválódott.
381,2023-05-07,Robot 2,A hűtőventilátor fordulatszáma csökkent.
382,2023-05-08,Hidraulikus prés-10,A szinkronizáció megszakadt a vezérlőegységek között.
383,2023-05-08,Robot Delta,A pneumatikus rendszer tömítetlenséget mutat.
384,2023-05-08,Lézeres Vágó-B,Az üzemanyag-ellátó rendszer nyomásingadozást tapasztalt.
385,2023-05-09,Lézeres Vágó-Pro,A vibrációérzékelő határérték feletti értéket mutatott.
386,2023-05-09,Maró-2,A pneumatikus csatlakozók között nyomásveszteség tapasztalható.
387,2023-05-09,Hidraulikus prés-Y,Porfelhalmozódás az optikai szenzoron.
388,2023-05-10,Emelőkar-X,Az optikai érzékelőt zsírréteg borítja.
389,2023-05-10,Présgép-Plus,A hőmérséklet-szabályozó egység hibás jeleket küld.
390,2023-05-10,Robot X,A sebességváltó fogaskerekei nem kapcsolódnak megfelelően.
391,2023-05-11,CNC-Micro,A kenőrendszer olajszintje az alsó határérték alá csökkent.
392,2023-05-11,Hidraulikus prés-Y,A vibrációérzékelő határérték feletti értéket mutatott.
393,2023-05-11,Maró-8,A gép kimeneti teljesítménye csökkent a meghajtó egység hibája miatt.
394,2023-05-12,Fúró-12,A vákuumrendszer szivárgást jelez.
395,2023-05-12,Lézeres Vágó-B,A szivattyú működése közben szokatlan zaj hallható.
396,2023-05-12,Lézeres Vágó-Pro,A szenzorok hibás adatokat küldenek a vezérlőegységnek.
397,2023-05-13,CNC-Micro,Kopott fogaskerék cseréje szükséges.
398,2023-05-13,Fúró-12,A gépindítás közben váratlan rendszerindítás történt.
399,2023-05-13,Lézeres Vágó-B,A lánchajtás mechanikai deformációt szenvedett.
400,2023-05-14,Szállítószalag-Z,Az érzékelők jelzése nem egyezik a valós pozícióval.
401,2023-05-14,Szenzorvezérlő-3,Váratlan leállás szoftverhiba miatt.
402,2023-05-14,Szállítószalag-C,Rendellenes rezgés működés közben.
403,2023-05-15,Emelőkar-Pro,Az érzékelők jelzése nem egyezik a valós pozícióval.
404,2023-05-15,Maró-8,Az elektrohidraulikus szelep elakadt működés közben.
405,2023-05-15,Hidraulikus prés-10,A szervomotor nem tartja a beállított pozíciót.
406,2023-05-16,Hidraulikus prés-4,A vibrációérzékelő határérték feletti értéket mutatott.
407,2023-05-16,Lézeres Vágó-Pro,A süllyesztő mechanizmus belső csapágyai sérültek.
408,2023-05-16,Lézeres Vágó-Pro,A sebességváltó fogaskerekei nem kapcsolódnak megfelelően.
409,2023-05-17,Maró-Z,A vészleállító ok nélkül aktiválódott.
410,2023-05-17,Szenzorvezérlő-Beta,A szenzor kalibrálása sikertelen volt.
411,2023-05-17,Hidraulikus prés-Y,A sebességváltó fogaskerekei nem kapcsolódnak megfelelően.
412,2023-05-18,CNC-Micro,Rendellenes rezgés működés közben.
413,2023-05-18,Robot Alpha,A lánchajtás mechanikai deformációt szenvedett.
414,2023-05-18,Emelőkar-X,A hidraulikus olaj hőmérséklete meghaladta a biztonsági szintet.
415,2023-05-19,Optikai Mérő-Delta,A szoftver modul inkompatibilitása miatt a rendszer nem indítható.
416,2023-05-19,Szenzorvezérlő-3,Kopott fogaskerék cseréje szükséges.
417,2023-05-19,Lézeres Vágó-Pro,Túlzott zaj a fogaskerék mechanizmusból.
418,2023-05-20,Hidraulikus prés-10,A feszültségszabályozó hibásan működik.
419,2023-05-20,Robot 2,Az integrált áramkör hőtúlterhelést kapott.
420,2023-05-20,Emelőkar-3,Alacsony hidraulikus nyomás észlelve.
421,2023-05-21,Hegesztő-1,A szenzorok hibás adatokat küldenek a vezérlőegységnek.
422,2023-05-21,Hidraulikus prés-4,A vészleállító gomb nem működött megfelelően.
423,2023-05-21,Robot Alpha,A vákuumrendszer szivárgást jelez.
424,2023-05-22,Maró-8,Túláramvédelem ismételten aktiválódik.
425,2023-05-22,Robot X,A vészjelző rendszer váratlan hibát jelzett.
426,2023-05-22,Robot 2,A vészleállító ok nélkül aktiválódott.
427,2023-05-23,Hegesztő-1,Gyakori olajszivárgás a hajtótengely közelében.
428,2023-05-23,Présgép-9,A láncmechanizmus meghibásodott.
429,2023-05-23,Lézeres Vágó-A,Az elektrohidraulikus szelep elakadt működés közben.
430,2023-05-24,Lézeres Vágó-Pro,Az eszköz firmware-jének újraindítása sikertelen volt.
431,2023-05-24,Présgép-Plus,A gép kimeneti teljesítménye csökkent a meghajtó egység hibája miatt.
432,2023-05-24,Fúró-MAX,A vezérlőpanel időnként nem reagál.
433,2023-05-25,CNC-Micro,Az olajszűrő rendszer eltömődött.
434,2023-05-25,CNC-Micro,A szoftver modul inkompatibilitása miatt a rendszer nem indítható.
435,2023-05-25,CNC-7,Hirtelen áramfelvétel-növekedés figyelhető meg.
436,2023-05-26,Présgép-1,A süllyesztő mechanizmus belső csapágyai sérültek.
437,2023-05-26,Szenzorvezérlő-1,A vákuumrendszer szivárgást jelez.
438,2023-05-26,Lézeres Vágó-Pro,Beragadt működtető a lift mechanizmusban.
439,2023-05-27,Maró-2,Az alkatrész érzékelő hibás adatokat továbbít.
440,2023-05-27,Robot 2,Beragadt működtető a lift mechanizmusban.
441,2023-05-27,Hegesztő-XL,A kenőrendszer olajszintje az alsó határérték alá csökkent.
442,2023-05-28,CNC-Pro,Az elektromos motor szénkeféi elhasználódtak.
443,2023-05-28,Emelőkar-3,Áramkimaradás történt a vezérlőegységnél.
444,2023-05-28,Optikai Mérő-2,Az integrált áramkör hőtúlterhelést kapott.
445,2023-05-29,Maró-Z,A vákuumrendszer szivárgást jelez.
446,2023-05-29,Szenzorvezérlő-Beta,A robotkar mozgása akadozik.
447,2023-05-29,Optikai Mérő-2,A süllyesztő mechanizmus belső csapágyai sérültek.
448,2023-05-30,Hegesztő-1,A gépindítás közben váratlan rendszerindítás történt.
449,2023-05-30,Hidraulikus prés-4,A feszültségszabályozó hibásan működik.
450,2023-05-30,Lézeres Vágó-Pro,Az érzékelők jelzése nem egyezik a valós pozícióval.
451,2023-05-31,CNC-Micro,A csapágyak extrém kopást mutatnak.
452,2023-05-31,Emelőkar-3,A sebességváltó fogaskerekei nem kapcsolódnak megfelelően.
453,2023-05-31,Maró-Z,Az optikai érzékelőt zsírréteg borítja.
454,2023-06-01,Lézeres Vágó-Pro,Igazítási probléma a robotkarban.
455,2023-06-01,Robot Alpha,Igazítási probléma a robotkarban.
456,2023-06-01,Présgép-Plus,Túlmelegedett a hajtómotor működés közben.
457,2023-06-02,CNC-Micro,Firmware inkompatibilitás frissítés után.
458,2023-06-02,Optikai Mérő-X,A hőmérséklet meghaladja a biztonságos határt.
459,2023-06-02,Maró-Z,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
460,2023-06-03,Emelőkar-3,Nem reagál az érintőképernyő a vezérlőpanelen.
461,2023-06-03,CNC-Micro,Az érzékelők jelzése nem egyezik a valós pozícióval.
462,2023-06-03,Emelőkar-Pro,A kenőrendszer olajszintje az alsó határérték alá csökkent.
463,2023-06-04,Szállítószalag-C,Kopott fogaskerék cseréje szükséges.
464,2023-06-04,Robot Alpha,A robotkar mozgása akadozik.
465,2023-06-04,Optikai Mérő-2,A hőmérséklet-szabályozó egység hibás jeleket küld.
466,2023-06-05,Szállítószalag-7,A rendszer kritikus memóriahibát észlelt.
467,2023-06-05,Optikai Mérő-2,Az érzékelők jelzése nem egyezik a valós pozícióval.
468,2023-06-05,Hidraulikus prés-4,Kopott fogaskerék cseréje szükséges.
469,2023-06-06,Optikai Mérő-Delta,A vészleállító gomb nem működött megfelelően.
470,2023-06-06,Maró-Z,Az elektrohidraulikus szelep elakadt működés közben.
471,2023-06-06,Szállítószalag-B,A szinkronizáció megszakadt a vezérlőegységek között.
472,2023-06-07,CNC-7,Az érzékelők jelzése nem egyezik a valós pozícióval.
473,2023-06-07,Présgép-Plus,Az áramellátás stabilitása nem garantálható a jelenlegi terhelés mellett.
474,2023-06-07,Szállítószalag-C,Az automatizált szoftverfrissítés során hibakódot jelezett.
475,2023-06-08,Robot Alpha,A gép kimeneti teljesítménye csökkent a meghajtó egység hibája miatt.
476,2023-06-08,Emelőkar-Pro,A vibrációérzékelő határérték feletti értéket mutatott.
477,2023-06-08,Optikai Mérő-2,Áramkimaradás történt a vezérlőegységnél.
478,2023-06-09,Szállítószalag-7,Az automatizált szoftverfrissítés során hibakódot jelezett.
479,2023-06-09,Szenzorvezérlő-3,A vészleállító gomb nem működött megfelelően.
480,2023-06-09,Hegesztő-1,Porfelhalmozódás az optikai szenzoron.
481,2023-06-10,Lézeres Vágó-A,Hirtelen áramfelvétel-növekedés figyelhető meg.
482,2023-06-10,Maró-2,Az eszköz firmware-jének újraindítása sikertelen volt.
483,2023-06-10,CNC-3,A láncvezető kopás miatt nem működik megfelelően.
484,2023-06-11,Emelőkar-Pro,A szinkronizáció megszakadt a vezérlőegységek között.
485,2023-06-11,Présgép-9,Beragadt működtető a lift mechanizmusban.
486,2023-06-11,Lézeres Vágó-B,Törött tömítés az olajtartályon.
487,2023-06-12,Fúró-X,Firmware inkompatibilitás frissítés után.
488,2023-06-12,Présgép-9,Az elektromos motor szénkeféi elhasználódtak.
489,2023-06-12,Emelőkar-Pro,A hőmérséklet-szabályozó egység hibás jeleket küld.
490,2023-06-13,Szállítószalag-B,A szenzor kalibrálása sikertelen volt.
491,2023-06-13,Szállítószalag-7,Az alkatrész érzékelő hibás adatokat továbbít.
492,2023-06-13,Hegesztő-MAX,Az elektromos motor szénkeféi elhasználódtak.
493,2023-06-14,Fúró-X,Az adagoló rendszerben eltömődés történt.
494,2023-06-14,Szenzorvezérlő-3,A vezérlőpanel időnként nem reagál.
495,2023-06-14,Fúró-12,Túlmelegedett a hajtómotor működés közben.
496,2023-06-15,Robot X,A rendszer kritikus memóriahibát észlelt.
497,2023-06-15,Emelőkar-Pro,A hőmérséklet érzékelő nem reagál a tesztparancsokra.
498,2023-06-15,Szállítószalag-C,Alacsony hidraulikus nyomás észlelve.
499,2023-06-16,Optikai Mérő-Delta,Az energiafogyasztás jelentősen megnőtt az elmúlt ciklusban.
500,2023-06-16,CNC-7,A gépindítás közben váratlan rendszerindítás történt.
501,2023-06-16,Emelőkar-X,Alacsony hidraulikus nyomás észlelve.
502,2023-06-17,CNC-Pro,A hőmérséklet meghaladja a biztonságos határt.
503,2023-06-17,Hidraulikus prés-Y,Az integrált áramkör hőtúlterhelést kapott.
504,2023-06-17,Robot Delta,Alacsony hidraulikus nyomás észlelve.
505,2023-06-18,Robot 2,Az érzékelők jelzése nem egyezik a valós pozícióval.
506,2023-06-18,Hegesztő-XL,A robotkar mozgása akadozik.
507,2023-06-18,CNC-7,A vákuumrendszer szivárgást jelez.
508,2023-06-19,Hegesztő-1,A vészleállító ok nélkül aktiválódott.
509,2023-06-19,Fúró-5,Az eszköz firmware-jének újraindítása sikertelen volt.
510,2023-06-19,Présgép-1,A sebességváltó fogaskerekei nem kapcsolódnak megfelelően.
511,2023-06-20,Szállítószalag-Z,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
512,2023-06-20,Hidraulikus prés-Y,A sebességváltó fogaskerekei nem kapcsolódnak megfelelően.
513,2023-06-20,Optikai Mérő-Delta,A PLC vezérlőegység áramszünet miatt újraindult.
514,2023-06-21,Fúró-12,A szenzor kalibrálása sikertelen volt.
515,2023-06-21,Hegesztő-XL,A vészleállító ok nélkül aktiválódott.
516,2023-06-21,Robot X,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
517,2023-06-22,Maró-2,Alacsony hidraulikus nyomás észlelve.
518,2023-06-22,Fúró-X,A hidraulikus olaj hőmérséklete meghaladta a biztonsági szintet.
519,2023-06-22,Robot Alpha,Az adagoló rendszerben eltömődés történt.
520,2023-06-23,Emelőkar-X,Igazítási probléma a robotkarban.
521,2023-06-23,Robot 2,Váratlan leállás szoftverhiba miatt.
522,2023-06-23,Optikai Mérő-Delta,Túláramvédelem ismételten aktiválódik.
523,2023-06-24,Robot Alpha,Hirtelen áramfelvétel-növekedés figyelhető meg.
524,2023-06-24,Lézeres Vágó-B,Kopott fogaskerék cseréje szükséges.
525,2023-06-24,CNC-3,A szenzorok hibás adatokat küldenek a vezérlőegységnek.
526,2023-06-25,Robot 2,Az eszköz firmware-jének újraindítása sikertelen volt.
527,2023-06-25,Présgép-9,A szenzor kalibrálása sikertelen volt.
528,2023-06-25,Robot 2,Az áramellátás stabilitása nem garantálható a jelenlegi terhelés mellett.
529,2023-06-26,Fúró-MAX,Alacsony hidraulikus nyomás észlelve.
530,2023-06-26,Fúró-5,A pneumatikus rendszer tömítetlenséget mutat.
531,2023-06-26,Maró-8,A robotvezérlő és a mechanika szinkronizációja megszakadt.
532,2023-06-27,CNC-3,A feszültségszabályozó hibásan működik.
533,2023-06-27,Szenzorvezérlő-1,Az integrált áramkör hőtúlterhelést kapott.
534,2023-06-27,Szállítószalag-B,Porfelhalmozódás az optikai szenzoron.
535,2023-06-28,Maró-2,A vészleállító ok nélkül aktiválódott.
536,2023-06-28,Optikai Mérő-X,A kenőrendszer olajszintje az alsó határérték alá csökkent.
537,2023-06-28,Présgép-Plus,A PLC vezérlőegység áramszünet miatt újraindult.
538,2023-06-29,Szenzorvezérlő-3,Az optikai érzékelőt zsírréteg borítja.
539,2023-06-29,Szállítószalag-7,Alacsony hidraulikus nyomás észlelve.
540,2023-06-29,Robot Delta,A hőmérséklet-szabályozó egység hibás jeleket küld.
541,2023-06-30,CNC-Micro,Beragadt működtető a lift mechanizmusban.
542,2023-06-30,Hidraulikus prés-Y,Váratlan leállás szoftverhiba miatt.
543,2023-06-30,Lézeres Vágó-A,A hálózati csatlakozónál magas hőmérsékletet észleltek.
544,2023-07-01,Emelőkar-Pro,Az olajszűrő rendszer eltömődött.
545,2023-07-01,Optikai Mérő-Delta,A hőmérséklet meghaladja a biztonságos határt.
546,2023-07-01,Maró-2,A gépdiagnosztikai teszt során kommunikációs hibát észleltek.
547,2023-07-02,Robot X,A szervomotor nem tartja a beállított pozíciót.
548,2023-07-02,CNC-7,A szenzorok hibás adatokat küldenek a vezérlőegységnek.
549,2023-07-02,Fúró-5,A hálózati csatlakozónál magas hőmérsékletet észleltek.
550,2023-07-03,Hegesztő-XL,A vészleállító gomb nem működött megfelelően.
551,2023-07-03,Maró-2,A sebességváltó fogaskerekei nem kapcsolódnak megfelelően.
552,2023-07-03,Emelőkar-3,Szenzorhiba hibás vezetékezés miatt.
553,2023-07-04,Szenzorvezérlő-3,A PLC vezérlőegység áramszünet miatt újraindult.
554,2023-07-04,Fúró-MAX,A hidraulikus olaj hőmérséklete meghaladta a biztonsági szintet.
555,2023-07-04,Hidraulikus prés-Y,A hálózati csatlakozónál magas hőmérsékletet észleltek.
556,2023-07-05,Hidraulikus prés-4,Nem reagál az érintőképernyő a vezérlőpanelen.
557,2023-07-05,Lézeres Vágó-B,Kopott fogaskerék cseréje szükséges.
558,2023-07-05,Emelőkar-Pro,A gépindítás közben váratlan rendszerindítás történt.
559,2023-07-06,Maró-2,A PLC vezérlőegység áramszünet miatt újraindult.
560,2023-07-06,Maró-Z,A csatlakozók oxidációs nyomokat mutatnak.
561,2023-07-06,Szállítószalag-7,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
562,2023-07-07,Szenzorvezérlő-1,Túlmelegedett a hajtómotor működés közben.
563,2023-07-07,Szenzorvezérlő-Beta,A berendezés érzékelője hamis riasztásokat generál.
564,2023-07-07,CNC-3,A gépindítás közben váratlan rendszerindítás történt.
565,2023-07-08,CNC-Micro,A szoftver modul inkompatibilitása miatt a rendszer nem indítható.
566,2023-07-08,Robot 2,Az elektrohidraulikus szelep elakadt működés közben.
567,2023-07-08,Maró-Z,Az olajszűrő rendszer eltömődött.
568,2023-07-09,Hidraulikus prés-10,A vészleállító gomb nem működött megfelelően.
569,2023-07-09,Fúró-X,Gyakori olajszivárgás a hajtótengely közelében.
570,2023-07-09,CNC-3,A vákuumrendszer szivárgást jelez.
571,2023-07-10,Fúró-MAX,Törött tömítés az olajtartályon.
572,2023-07-10,Maró-Z,Az áramellátás stabilitása nem garantálható a jelenlegi terhelés mellett.
573,2023-07-10,Lézeres Vágó-A,Alacsony hidraulikus nyomás észlelve.
574,2023-07-11,Szállítószalag-7,A vezérlőpanel időnként nem reagál.
575,2023-07-11,Fúró-MAX,A hőmérséklet-szabályozó egység hibás jeleket küld.
576,2023-07-11,Optikai Mérő-Delta,A süllyesztő mechanizmus belső csapágyai sérültek.
577,2023-07-12,Lézeres Vágó-B,Firmware inkompatibilitás frissítés után.
578,2023-07-12,Emelőkar-Pro,Gyakori olajszivárgás a hajtótengely közelében.
579,2023-07-12,Optikai Mérő-X,A robotvezérlő és a mechanika szinkronizációja megszakadt.
580,2023-07-13,Hidraulikus prés-4,A gépindítás közben váratlan rendszerindítás történt.
581,2023-07-13,Hegesztő-XL,Az elektrohidraulikus szelep elakadt működés közben.
582,2023-07-13,CNC-3,Az üzemanyag-ellátó rendszer nyomásingadozást tapasztalt.
583,2023-07-14,Présgép-9,A csapágyak extrém kopást mutatnak.
584,2023-07-14,Emelőkar-X,Az integrált áramkör hőtúlterhelést kapott.
585,2023-07-14,Szállítószalag-7,Hirtelen áramfelvétel-növekedés figyelhető meg.
586,2023-07-15,Hegesztő-1,A hálózati csatlakozónál magas hőmérsékletet észleltek.
587,2023-07-15,Fúró-5,Az energiafogyasztás jelentősen megnőtt az elmúlt ciklusban.
588,2023-07-15,Szenzorvezérlő-3,A hálózati csatlakozónál magas hőmérsékletet észleltek.
589,2023-07-16,Optikai Mérő-X,Firmware inkompatibilitás frissítés után.
590,2023-07-16,Hegesztő-1,A hőmérséklet meghaladja a biztonságos határt.
591,2023-07-16,Lézeres Vágó-B,Szenzorhiba hibás vezetékezés miatt.
592,2023-07-17,Szállítószalag-C,A gépdiagnosztikai teszt során kommunikációs hibát észleltek.
593,2023-07-17,Hidraulikus prés-Y,A kenőrendszer olajszintje az alsó határérték alá csökkent.
594,2023-07-17,Robot Delta,A süllyesztő mechanizmus belső csapágyai sérültek.
595,2023-07-18,Robot Alpha,Alacsony hidraulikus nyomás észlelve.
596,2023-07-18,Hidraulikus prés-10,Az olajszűrő rendszer eltömődött.
597,2023-07-18,Lézeres Vágó-Pro,Beragadt működtető a lift mechanizmusban.
598,2023-07-19,Robot X,A vákuumrendszer szivárgást jelez.
599,2023-07-19,Emelőkar-3,Az olajszűrő rendszer eltömődött.
600,2023-07-19,Maró-2,A PLC vezérlőegység áramszünet miatt újraindult.
601,2023-07-20,Szállítószalag-C,Gyakori olajszivárgás a hajtótengely közelében.
602,2023-07-20,Optikai Mérő-X,Rendellenes rezgés működés közben.
603,2023-07-20,Robot Delta,A csatlakozók oxidációs nyomokat mutatnak.
604,2023-07-21,Lézeres Vágó-A,Az automatizált szoftverfrissítés során hibakódot jelezett.
605,2023-07-21,Szenzorvezérlő-1,A gép kimeneti teljesítménye csökkent a meghajtó egység hibája miatt.
606,2023-07-21,Présgép-1,Az eszköz firmware-jének újraindítása sikertelen volt.
607,2023-07-22,Szenzorvezérlő-1,A robotvezérlő és a mechanika szinkronizációja megszakadt.
608,2023-07-22,Emelőkar-3,Alacsony hidraulikus nyomás észlelve.
609,2023-07-22,Présgép-9,Firmware inkompatibilitás frissítés után.
610,2023-07-23,Fúró-5,A vibrációérzékelő határérték feletti értéket mutatott.
611,2023-07-23,Szállítószalag-B,Az elektromos motor szénkeféi elhasználódtak.
612,2023-07-23,Lézeres Vágó-Pro,A hőmérséklet érzékelő nem reagál a tesztparancsokra.
613,2023-07-24,Hegesztő-1,A vezérlőpanel időnként nem reagál.
614,2023-07-24,Optikai Mérő-Delta,A hűtőventilátor fordulatszáma csökkent.
615,2023-07-24,Fúró-5,A rendszer kritikus memóriahibát észlelt.
616,2023-07-25,Maró-2,Alacsony hidraulikus nyomás észlelve.
617,2023-07-25,Hidraulikus prés-10,A szinkronizáció megszakadt a vezérlőegységek között.
618,2023-07-25,Présgép-9,A gép kimeneti teljesítménye csökkent a meghajtó egység hibája miatt.
619,2023-07-26,Lézeres Vágó-B,A kenőrendszer olajszintje az alsó határérték alá csökkent.
620,2023-07-26,Lézeres Vágó-A,A szoftver modul inkompatibilitása miatt a rendszer nem indítható.
621,2023-07-26,Szenzorvezérlő-3,A csapágyak extrém kopást mutatnak.
622,2023-07-27,CNC-Micro,Az alkatrész érzékelő hibás adatokat továbbít.
623,2023-07-27,Présgép-1,A hőmérséklet érzékelő nem reagál a tesztparancsokra.
624,2023-07-27,Maró-2,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
625,2023-07-28,Lézeres Vágó-Pro,A hőmérséklet meghaladja a biztonságos határt.
626,2023-07-28,Optikai Mérő-Delta,Igazítási probléma a robotkarban.
627,2023-07-28,Lézeres Vágó-Pro,Kopott fogaskerék cseréje szükséges.
628,2023-07-29,Hegesztő-1,A pneumatikus rendszer tömítetlenséget mutat.
629,2023-07-29,Lézeres Vágó-Pro,Szenzorhiba hibás vezetékezés miatt.
630,2023-07-29,Maró-2,A berendezés érzékelője hamis riasztásokat generál.
631,2023-07-30,Hidraulikus prés-Y,Alacsony hidraulikus nyomás észlelve.
632,2023-07-30,Robot X,Az integrált áramkör hőtúlterhelést kapott.
633,2023-07-30,Présgép-1,A gépdiagnosztikai teszt során kommunikációs hibát észleltek.
634,2023-07-31,CNC-3,A vészleállító gomb nem működött megfelelően.
635,2023-07-31,Présgép-9,A vészleállító gomb nem működött megfelelően.
636,2023-07-31,CNC-7,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
637,2023-08-01,Emelőkar-X,Az alkatrész érzékelő hibás adatokat továbbít.
638,2023-08-01,Hegesztő-1,A szervomotor nem tartja a beállított pozíciót.
639,2023-08-01,Szállítószalag-7,A vezérlőpanel időnként nem reagál.
640,2023-08-02,CNC-Pro,A lánchajtás mechanikai deformációt szenvedett.
641,2023-08-02,Szállítószalag-B,Alacsony hidraulikus nyomás észlelve.
642,2023-08-02,CNC-Micro,A csatlakozók oxidációs nyomokat mutatnak.
643,2023-08-03,Emelőkar-X,Az áramellátás stabilitása nem garantálható a jelenlegi terhelés mellett.
644,2023-08-03,Fúró-MAX,Áramkimaradás történt a vezérlőegységnél.
645,2023-08-03,Hidraulikus prés-Y,A lánchajtás mechanikai deformációt szenvedett.
646,2023-08-04,Maró-Z,Az elektrohidraulikus szelep elakadt működés közben.
647,2023-08-04,Emelőkar-3,A vészleállító gomb nem működött megfelelően.
648,2023-08-04,Maró-2,A hűtőventilátor fordulatszáma csökkent.
649,2023-08-05,Hegesztő-XL,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
650,2023-08-05,CNC-3,Törött tömítés az olajtartályon.
651,2023-08-05,Robot 2,A vibrációérzékelő határérték feletti értéket mutatott.
652,2023-08-06,Szenzorvezérlő-3,Hidraulikus szivattyú meghibásodás a ciklus során.
653,2023-08-06,Hidraulikus prés-10,A láncmechanizmus meghibásodott.
654,2023-08-06,Fúró-MAX,A gép kimeneti teljesítménye csökkent a meghajtó egység hibája miatt.
655,2023-08-07,Szállítószalag-Z,Túlzott zaj a fogaskerék mechanizmusból.
656,2023-08-07,CNC-Micro,Törött tömítés az olajtartályon.
657,2023-08-07,Hegesztő-MAX,A kenőrendszer olajszintje az alsó határérték alá csökkent.
658,2023-08-08,Lézeres Vágó-Pro,A hőmérséklet-szabályozó egység hibás jeleket küld.
